2023-05-28 10:51:33 DEBUG    PROCESS: id list: [1, 2, 3, 4],ip list ['10.0.0.1', '10.0.0.2', '10.0.0.3', '10.0.0.4']
2023-05-28 10:51:35 INFO     ----- EVALUATION CHECKPOINT: message receiving, time: 1685263895951.3806 -----
2023-05-28 10:51:35 INFO     Message received by 10.0.0.1: {'FLAG': 'MSG', 'FROM': '1', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'C': [3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 204, 94, 12, 11, 2, 6, 1, 0, 11, 64, 33, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 62, 72, 72], 'SEQUENCENUMBER': '0', 'HMAC': '7e61434194b74d92cc8236d9e4b0bee841014e829605d55607fb49264d9e9920'}
2023-05-28 10:51:35 INFO     PROCESS: 4,10.0.0.4 --- Starting the ECHO part...
2023-05-28 10:51:35 INFO     ----- EVALUATION CHECKPOINT: message receiving, time: 1685263895954.9495 -----
2023-05-28 10:51:35 INFO     Message received by 10.0.0.2: {'FLAG': 'ECHO', 'FROM': '2', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'C': [1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 204, 94, 12, 11, 2, 6, 1, 0, 233, 75, 185, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0], 'SEQUENCENUMBER': '0', 'HMAC': 'eb950d8b4d991e31048b267b8555cf335da604ccd4d561cd56a68e8d16a82122'}
2023-05-28 10:51:35 INFO     {'FLAG': 'ECHO', 'FROM': '4', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'C': [3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 204, 94, 12, 11, 2, 6, 1, 0, 11, 64, 33, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 62, 72, 72], 'SEQUENCENUMBER': '0', 'HMAC': '12c9abc495e97747f76f2830a0dae0c57189f0bac13655c2475d37e0863ba36e'} sent to <10.0.0.1,1>
2023-05-28 10:51:35 INFO     ----- EVALUATION CHECKPOINT: message receiving, time: 1685263895959.74 -----
2023-05-28 10:51:35 INFO     Message received by 10.0.0.3: {'FLAG': 'ECHO', 'FROM': '3', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'C': [2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 204, 94, 12, 11, 2, 6, 1, 0, 250, 69, 109, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 101, 108, 108], 'SEQUENCENUMBER': '0', 'HMAC': 'dc206e3ccb9df2896f4c4dc7b572a48edc50b447b13c1983cac05dcef8162cb2'}
2023-05-28 10:51:35 INFO     {'FLAG': 'ECHO', 'FROM': '4', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'C': [3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 204, 94, 12, 11, 2, 6, 1, 0, 11, 64, 33, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 62, 72, 72], 'SEQUENCENUMBER': '0', 'HMAC': 'bbf02492b7a16b5a9aca827509b8f2a29b6ee798d698a4c108f25413da596dc2'} sent to <10.0.0.2,2>
2023-05-28 10:51:35 INFO     {'FLAG': 'ECHO', 'FROM': '4', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'C': [3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 204, 94, 12, 11, 2, 6, 1, 0, 11, 64, 33, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 62, 72, 72], 'SEQUENCENUMBER': '0', 'HMAC': '129d86b328f3057d9a92cfffea18b56db6b48f08b49ed288ce0e98abf6874243'} sent to <10.0.0.3,3>
2023-05-28 10:51:35 INFO     Message received by 10.0.0.1: {'FLAG': 'ECHO', 'FROM': '1', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'C': [0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 204, 94, 12, 11, 2, 6, 1, 0, 24, 78, 245, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 101, 108, 108], 'SEQUENCENUMBER': '0', 'HMAC': 'b3c45b25d4f57d0947608e9648362c195abc205477b5dedf7bbec60a0dc2f885'}
2023-05-28 10:51:35 INFO     {'FLAG': 'ECHO', 'FROM': '4', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'C': [3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 204, 94, 12, 11, 2, 6, 1, 0, 11, 64, 33, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 62, 72, 72], 'SEQUENCENUMBER': '0', 'HMAC': '0b106d962559be8633075cbaf63a994c60320ee4d4929ddce6fcb8761a55637a'} sent to <10.0.0.4,4>
2023-05-28 10:51:35 INFO     ----- EVALUATION CHECKPOINT: message receiving, time: 1685263895970.7297 -----
2023-05-28 10:51:35 INFO     Message received by 10.0.0.4: {'FLAG': 'ECHO', 'FROM': '4', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'C': [3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 204, 94, 12, 11, 2, 6, 1, 0, 11, 64, 33, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 62, 72, 72], 'SEQUENCENUMBER': '0', 'HMAC': '0b106d962559be8633075cbaf63a994c60320ee4d4929ddce6fcb8761a55637a'}
2023-05-28 10:51:35 INFO     Message received by 10.0.0.1: {'FLAG': 'ACC', 'FROM': '1', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'SEQUENCENUMBER': '0', 'HMAC': '33f246eae672dcbd0fec1e9c94c3ad6701cee0eaf6434103443d5686447f32a6'}
2023-05-28 10:51:35 INFO     Message received by 10.0.0.2: {'FLAG': 'ACC', 'FROM': '2', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'SEQUENCENUMBER': '0', 'HMAC': 'afc664d4c59bd6a99480ebd1f890df4f5a09f69735f82892f723c4d789375904'}
2023-05-28 10:51:35 INFO     {'FLAG': 'ACC', 'FROM': '4', 'SOURCE': '1', 'HASH': '2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824', 'SEQUENCENUMBER': '0', 'HMAC': '10617a606a5f98354fba7f9dec4c924755fe9a171b3b0d2c20af3ca77a2f7b77'} sent to <10.0.0.1,1>
